source,target,weight,distance,source_name,target_name
1379511816,2058921025,1,1.0,Alejandro Barredo Arrieta,Natalia Díaz Rodríguez
1379511816,9221552,1,1.0,Alejandro Barredo Arrieta,J. Ser
1379511786,1379511816,1,1.0,Adrien Bennetot,Alejandro Barredo Arrieta
1379511816,3030006,1,1.0,Alejandro Barredo Arrieta,S. Tabik
1379511816,50449165,1,1.0,Alejandro Barredo Arrieta,A. Barbado
1379511816,39558258,1,1.0,Alejandro Barredo Arrieta,S. García
1379511816,1402195255,1,1.0,Alejandro Barredo Arrieta,S. Gil-Lopez
1379511816,145337392,1,1.0,Alejandro Barredo Arrieta,D. Molina
1379511816,2445552,1,1.0,Alejandro Barredo Arrieta,Richard Benjamins
1379511816,2091924780,1,1.0,Alejandro Barredo Arrieta,Raja Chatila
1379511816,2098723448,1,1.0,Alejandro Barredo Arrieta,Francisco Herrera
2058921025,9221552,1,1.0,Natalia Díaz Rodríguez,J. Ser
1379511786,2058921025,1,1.0,Adrien Bennetot,Natalia Díaz Rodríguez
2058921025,3030006,1,1.0,Natalia Díaz Rodríguez,S. Tabik
2058921025,50449165,1,1.0,Natalia Díaz Rodríguez,A. Barbado
2058921025,39558258,1,1.0,Natalia Díaz Rodríguez,S. García
1402195255,2058921025,1,1.0,S. Gil-Lopez,Natalia Díaz Rodríguez
145337392,2058921025,1,1.0,D. Molina,Natalia Díaz Rodríguez
2058921025,2445552,1,1.0,Natalia Díaz Rodríguez,Richard Benjamins
2058921025,2091924780,1,1.0,Natalia Díaz Rodríguez,Raja Chatila
2058921025,2098723448,1,1.0,Natalia Díaz Rodríguez,Francisco Herrera
1379511786,9221552,1,1.0,Adrien Bennetot,J. Ser
3030006,9221552,1,1.0,S. Tabik,J. Ser
50449165,9221552,1,1.0,A. Barbado,J. Ser
39558258,9221552,1,1.0,S. García,J. Ser
1402195255,9221552,1,1.0,S. Gil-Lopez,J. Ser
145337392,9221552,1,1.0,D. Molina,J. Ser
2445552,9221552,1,1.0,Richard Benjamins,J. Ser
2091924780,9221552,1,1.0,Raja Chatila,J. Ser
2098723448,9221552,2,0.5,Francisco Herrera,J. Ser
1379511786,3030006,1,1.0,Adrien Bennetot,S. Tabik
1379511786,50449165,1,1.0,Adrien Bennetot,A. Barbado
1379511786,39558258,1,1.0,Adrien Bennetot,S. García
1379511786,1402195255,1,1.0,Adrien Bennetot,S. Gil-Lopez
1379511786,145337392,1,1.0,Adrien Bennetot,D. Molina
1379511786,2445552,1,1.0,Adrien Bennetot,Richard Benjamins
1379511786,2091924780,1,1.0,Adrien Bennetot,Raja Chatila
1379511786,2098723448,1,1.0,Adrien Bennetot,Francisco Herrera
3030006,50449165,1,1.0,S. Tabik,A. Barbado
3030006,39558258,1,1.0,S. Tabik,S. García
1402195255,3030006,1,1.0,S. Gil-Lopez,S. Tabik
145337392,3030006,1,1.0,D. Molina,S. Tabik
2445552,3030006,1,1.0,Richard Benjamins,S. Tabik
2091924780,3030006,1,1.0,Raja Chatila,S. Tabik
2098723448,3030006,1,1.0,Francisco Herrera,S. Tabik
39558258,50449165,1,1.0,S. García,A. Barbado
1402195255,50449165,1,1.0,S. Gil-Lopez,A. Barbado
145337392,50449165,1,1.0,D. Molina,A. Barbado
2445552,50449165,1,1.0,Richard Benjamins,A. Barbado
2091924780,50449165,1,1.0,Raja Chatila,A. Barbado
2098723448,50449165,1,1.0,Francisco Herrera,A. Barbado
1402195255,39558258,1,1.0,S. Gil-Lopez,S. García
145337392,39558258,1,1.0,D. Molina,S. García
2445552,39558258,1,1.0,Richard Benjamins,S. García
2091924780,39558258,1,1.0,Raja Chatila,S. García
2098723448,39558258,1,1.0,Francisco Herrera,S. García
1402195255,145337392,1,1.0,S. Gil-Lopez,D. Molina
1402195255,2445552,1,1.0,S. Gil-Lopez,Richard Benjamins
1402195255,2091924780,1,1.0,S. Gil-Lopez,Raja Chatila
1402195255,2098723448,1,1.0,S. Gil-Lopez,Francisco Herrera
145337392,2445552,1,1.0,D. Molina,Richard Benjamins
145337392,2091924780,1,1.0,D. Molina,Raja Chatila
145337392,2098723448,1,1.0,D. Molina,Francisco Herrera
2091924780,2445552,1,1.0,Raja Chatila,Richard Benjamins
2098723448,2445552,1,1.0,Francisco Herrera,Richard Benjamins
2091924780,2098723448,1,1.0,Raja Chatila,Francisco Herrera
11130878,1389230375,1,1.0,Victoria I. Marín,Olaf Zawacki-Richter
1389230375,145768607,1,1.0,Olaf Zawacki-Richter,Melissa Bond
1389230375,1389230390,1,1.0,Olaf Zawacki-Richter,Franziska Gouverneur
11130878,145768607,1,1.0,Victoria I. Marín,Melissa Bond
11130878,1389230390,1,1.0,Victoria I. Marín,Franziska Gouverneur
1389230390,145768607,1,1.0,Franziska Gouverneur,Melissa Bond
50487490,9139705,1,1.0,M. Berrada,Amina Adadi
121645690,143754359,1,1.0,Sébastien Bubeck,Varun Chandrasekaran
121645690,2315830,1,1.0,Sébastien Bubeck,Ronen Eldan
120962807,121645690,1,1.0,John A. Gehrke,Sébastien Bubeck
121645690,2064595436,1,1.0,Sébastien Bubeck,Eric Horvitz
121645690,1783184,1,1.0,Sébastien Bubeck,Ece Kamar
121645690,2397827688,1,1.0,Sébastien Bubeck,Peter Lee
121645690,2109308930,1,1.0,Sébastien Bubeck,Y. Lee
121645690,152244300,1,1.0,Sébastien Bubeck,Yuan-Fang Li
121645690,23451726,1,1.0,Sébastien Bubeck,Scott M. Lundberg
121645690,2268494857,1,1.0,Sébastien Bubeck,Harsha Nori
121645690,2247662718,1,1.0,Sébastien Bubeck,Hamid Palangi
121645690,78846919,1,1.0,Sébastien Bubeck,Marco Tulio Ribeiro
121645690,144884116,1,1.0,Sébastien Bubeck,Yi Zhang
143754359,2315830,1,1.0,Varun Chandrasekaran,Ronen Eldan
120962807,143754359,1,1.0,John A. Gehrke,Varun Chandrasekaran
143754359,2064595436,1,1.0,Varun Chandrasekaran,Eric Horvitz
143754359,1783184,1,1.0,Varun Chandrasekaran,Ece Kamar
