community_id,authorId,name,community_size
1,47002813,Yujia Li,109
1,35099444,A. Guez,109
1,3335364,Dzmitry Bahdanau,109
1,1688276,Daan Wierstra,109
1,2542999,T. Lillicrap,109
1,1398105826,Alvaro Sanchez-Gonzalez,109
1,36045539,Adrià Puigdomènech Badia,109
1,2066201331,Victoria Langston,109
1,145714153,Alexey Kurakin,109
1,2603033,V. Bapst,109
1,1747909,Hod Lipson,109
1,2047446108,Tomas Mikolov,109
1,1775622,Moritz Hardt,109
1,1701686,I. Sutskever,109
1,1863250,A. Pritzel,109
1,2107148568,H. F. Song,109
1,1484039896,Tim Green,109
1,143967473,Pushmeet Kohli,109
1,2749418,Vedavyas Panneershelvam,109
1,2158860,Jessica B. Hamrick,109
1,2844530,Andrea Tacchetti,109
1,33666044,A. Senior,109
1,2066516991,J. Kirkpatrick,109
1,40501144,Augustin Žídek,109
1,144518416,Holger Schwenk,109
1,1751762,Yoshua Bengio,109
1,1745899,Chris Dyer,109
1,3133079,V. Zambaldi,109
1,40360972,Abdel-rahman Mohamed,109
1,2755582,Guillaume Desjardins,109
1,144056327,J. Veness,109
1,1392692054,Alex Bridgland,109
1,1387988163,A. Nelson,109
1,2256592026,Qin Chen,109
1,48987704,D. Hassabis,109
1,35188630,George E. Dahl,109
1,2583391,Nal Kalchbrenner,109
1,2019153,P. Battaglia,109
1,2106164,D. Kumaran,109
1,145824029,David Silver,109
1,32399256,Chongli Qin,109
1,7638730,Matthew Tancik,109
1,9229182,B. Recht,109
1,145704247,James Martens,109
1,2175946,L. Sifre,109
1,3255983,Volodymyr Mnih,109
1,8181864,Kieran Milan,109
1,145254624,Kelsey R. Allen,109
1,2228824,Andrei A. Rusu,109
1,34660073,John Quan,109
1,40662181,Madeleine Leach,109
1,36942233,Charlie Nash,109
1,2076086,Fethi Bougares,109
1,2388737,C. Clopath,109
1,1996134,Razvan Pascanu,109
1,2552141,J. Clune,109
1,8270717,Junyoung Chung,109
1,2388466,Matthieu Courbariaux,109
1,4337102,Julian Schrittwieser,109
1,4111313,John Nham,109
1,1968210,Tom Erez,109
1,1405260934,Sara Fridovich-Keil,109
1,34838386,K. Simonyan,109
1,145124475,R. Salakhutdinov,109
1,34505275,Tiago Ramalho,109
1,153583218,Mehdi Mirza,109
1,2058362,J. Gilmer,109
1,143724694,David Raposo,109
1,2801204,N. Heess,109
1,2965424,J. Yosinski,109
1,2897313,Nitish Srivastava,109
1,2109481,Yuval Tassa,109
1,3158246,B. V. Merrienboer,109
1,40348417,Ashish Vaswani,109
1,145719986,J. David,109
1,48348688,Stig Petersen,109
1,145478807,Mateusz Malinowski,109
1,47921134,J. Jumper,109
1,1885349,Aja Huang,109
1,1751569,Samy Bengio,109
1,1975889,Marc Lanctot,109
1,1689108,O. Vinyals,109
1,3422052,Neil C. Rabinowitz,109
1,1695689,Geoffrey E. Hinton,109
1,48373216,S. Dieleman,109
1,2064160,A. Krizhevsky,109
1,1979489,Kyunghyun Cho,109
1,5055381,A. Ballard,109
1,35030998,Adam Santoro,109
1,2645384,K. Kavukcuoglu,109
1,1398898827,A. Grabska-Barwinska,109
1,47568983,George van den Driessche,109
1,6029718,Hugo Penedones,109
1,2024370854,Alex Yu,109
1,2401609,Dominik Grewe,109
1,3051369,Steve Crossan,109
1,20615377,Angjoo Kanazawa,109
1,2115604214,Richard Evans,109
1,46378362,M. Botvinick,109
1,2772217,Chris J. Maddison,109
1,1686971,T. Graepel,109
1,2315504,R. Hadsell,109
1,151505981,Chiyuan Zhang,109
1,152898526,David T. Jones,109
1,2323922,Jonathan J. Hunt,109
1,1854385,Çaglar Gülçehre,109
1,2460849,Ioannis Antonoglou,109
1,1753223,Alex Graves,109
1,3367786,Tim Harley,109
2,47537639,Gang Niu,64
2,31487928,Xingrui Yu,64
2,2115854801,Jian Tang,64
2,89356020,P. Chandak,64
2,2118439896,Kaifeng Chen,64
2,49437682,William L. Hamilton,64
2,9957625,Zhenqin Wu,64
2,2228923747,Max Welling,64
2,49454094,Kexin Huang,64
2,2110264337,Tie-Yan Liu,64
2,2359205623,Linfeng Zhang,64
2,2117715807,H. Krumholz,64
2,2427076,Tianfan Fu,64
2,1563693999,Shengchao Liu,64
2,2047998,Yuxiao Dong,64
2,2095762,M. Zitnik,64
2,2347660128,Caleb Geniesse,64
2,1865800402,Y. Bengio,64
